Grupo Empresarial;Código;Descrição;Conta Contábil;
FECD;TEP001.1.1.04.99;PERDAS EM COMPRAS DE MATERIAL DE CONSUMO NACIONAL;21304025;
FECD;TEP001.1.1.07.16;ESTACIONAMENTO;21304007;
FECD;FECD001.1.1.10.19;EXAME MEDICO;45001021;
FECD;FECD001.1.4.01.052;BANCO DO BRASIL C/C 10.808-1 - ISHR;35001006;
FECD;FECD001.1.1.04.13;REFEIÇÕES;45005021;
FECD;GRANT001.1.1.04.07;MATERIAL DE INFORMÁTICA;21707007;
FECD;FECD001.1.4.03.001;BANCO DO BRASIL C/C 10.271-7 - FUNBIO MULTIP;35001004;
FECD;GRANT001.1.1.05.04;ANTICORPOS;21704025;
FECD;FECD001.1.4.02.013;BANCO ITAÚ C/C 99.885-2 - UNIVERSID MINNESOTA - LUCIA JE;35001005;
FECD;PROJ001.1.1.07.10;PEQUENAS REFORMAS;21504017;
FECD;IMP004.02;TARIFA BANCÁRIA;21104002;
FECD;TEP001.1.1.04.05;MATERIAL DE LIMPEZA;21304016;
FECD;GRANT001.1.1.04.05;MATERIAL DE LIMPEZA;21704016;
FECD;FECD001.1.4.01.006;BANCO DO BRASIL C/C 10.789-1 - UNIMICRO UFRJ;35001006;
FECD;FECD001.1.4.01.000;BANCO DO BRASIL C/C 10.750-6 - WEBER SYMPOSIUM;35001006;
FECD;A1.5.2.02;Bens;21304004;
FECD;TEP001.1.1.04.14;MATERIAIS PARA OBRAS E REFORMAS;21304025;
FECD;FECD001.1.4.02.025;BANCO ITAU C/C 99.852-2 - GALACTOSEMIA - CLAUDIO MASUDA;35001005;
FECD;A1.5.1.01;Combustível para veículos e embarcações (litro);21304006;
FECD;PROJ001.1.1.07.23;IOF;21505001;
FECD;FECD001.1.1.06.02;INSS;21102020;
FECD;FECD001.1.4.01.045;BANCO ITAÚ C/C 99.863-9 - BIOINOVAR - PROFª ALANE;35001006;
FECD;FECD001.1.4.02.019;BANCO ITAÚ C/C 99.877-9 - LVM ABBOTT SPIKE;35001005;
FECD;1.4.1;Viagens e Diárias;21304024;
FECD;PROJ002.1.4.01.05;RECEITAS ANTECIPADAS (ADMINISTAÇÃO);21401001;
FECD;PROJ001.1.1.06.02;INSS;21501012;
FECD;PROJ002.1.1.07.01;PRESTAÇÃO DE SERVIÇOS ;21502003;
FECD;PROJ001.1.1.10.15;FERIAS - PROJETOS ;21501008;
FECD;FECD001.1.4.03.014;BANCO ITAÚ C/C 99.876-1 - FUNBIO - MARE LIMPA;35001004;
FECD;GRANT001.1.1.07.15;GRÁFICOS;21704022;
FECD;PROJ001.1.1.01.06;DESENVOLVEDOR DE PROTOCOLOS CIENTÍFICOS;21501004;
FECD;FECD001.1.1.07.08;IRRF NFS;21103001;
FECD;FECD001.1.1.07.23;CONTABILIDADE;45002002;
FECD;PROJ001.1.1.04.11;GASES INDUSTRIAIS;21504025;
FECD;PROJ001.1.1.01.05;DTI - B;21501004;
FECD;TEP001.1.2.02.01;MÓVEIS E UTENSÍLIOS;21304004;
FECD;PROJ001.1.1.04.02;ANIMAIS;21504025;
FECD;PROJ002.1.3.01.02;(+) RENDIMENTOS (ADMINISTRAÇÃO);21402001;
FECD;PROJ001.1.1.07.06;SEQUENCIAMENTOS;21504028;
FECD;PROJ001.1.1.08.02;MICHEL BASTOS SILVA;11243036;
FECD;A1.1.5.02;Desembolso - Bolsa de pesquisa;21301023;
FECD;PROJ001.1.1.07.14;MANUTENÇÃO E REPARO DE BENS;21504014;
